uuid,creation_date,frequency,day,updated_at,next_payment_day,status,user_id,event_timestamp,event_name,calculated_next_payment,discrepancy,discrepancy_type
30f4e25e-3e37-462e-8c3c-42f24f54350f,1724838709,monthly,fifteenth_day,2024-10-15T08:00:41.445627563Z,15,enabled,30f4e25e-3e37-462e-8c3c-42f24f54350f,2024-08-28 02:51:50,allowance.created,,True,Missing Calculation
6da398ad-079d-49b9-8668-6d7ce4d22683,1724659829,monthly,fifteenth_day,1724659829,15,enabled,6da398ad-079d-49b9-8668-6d7ce4d22683,2024-08-26 01:10:30,allowance.created,,True,Missing Calculation
2d30fe2d-6c32-4b8a-a19b-906184f64f62,1731309159,monthly,fifteenth_day,1731309159,15,enabled,2d30fe2d-6c32-4b8a-a19b-906184f64f62,2024-11-10 23:12:39,allowance.created,,True,Missing Calculation
c30180f3-b35c-470c-b25a-f12ec4ce3340,1725414982,monthly,first_day,2024-10-01T08:00:37.516552581Z,1,enabled,c30180f3-b35c-470c-b25a-f12ec4ce3340,2024-09-03 18:56:22,allowance.created,,True,Missing Calculation
9f5768db-e953-4057-9fa5-264c46293fbd,1726267511,biweekly,friday,2024-10-02T02:33:10.97923183Z,11,disabled,9f5768db-e953-4057-9fa5-264c46293fbd,2024-09-13 15:45:12,allowance.created,2024-09-20 15:45:12,True,Mismatched Values
35d3d7c2-2a05-4eae-bdf2-7896e611bbc6,1725453772,biweekly,monday,1725453772,16,enabled,35d3d7c2-2a05-4eae-bdf2-7896e611bbc6,2024-09-04 05:42:53,allowance.created,2024-09-16 05:42:53,False,Other
9295f1b0-c1cf-4dca-b720-84146395e058,1725501541,biweekly,monday,1725501541,16,enabled,9295f1b0-c1cf-4dca-b720-84146395e058,2024-09-04 18:59:02,allowance.created,2024-09-16 18:59:02,False,Other
c398bb9d-8ba5-4f31-9dd2-97d09a289360,1725453807,biweekly,monday,1725453807,16,enabled,c398bb9d-8ba5-4f31-9dd2-97d09a289360,2024-09-04 05:43:27,allowance.created,2024-09-16 05:43:27,False,Other
1958d8e3-cb69-4190-a47e-58008d526fc8,1731623845,biweekly,tuesday,2024-11-26T08:00:26.493628458Z,10,enabled,1958d8e3-cb69-4190-a47e-58008d526fc8,2024-11-14 14:37:25,allowance.created,2024-11-26 14:37:25,True,Mismatched Values
919436cc-5f02-43d1-9636-d72e1490bb3d,1731895648,biweekly,monday,1731895648,2,enabled,919436cc-5f02-43d1-9636-d72e1490bb3d,2024-11-17 18:07:28,allowance.created,2024-11-25 18:07:28,True,Mismatched Values
6b36d785-5958-4469-a438-9b2e09cbf973,1732222219,weekly,thursday,2024-11-28T08:00:26.049462722Z,5,enabled,6b36d785-5958-4469-a438-9b2e09cbf973,2024-11-21 12:50:19,allowance.created,2024-11-21 12:50:19,True,Mismatched Values
9a38d5a4-079d-4300-a34f-d8dd3077532e,1732475627,biweekly,friday,2024-11-24T19:14:11.696320921Z,6,disabled,9a38d5a4-079d-4300-a34f-d8dd3077532e,2024-11-24 11:13:48,allowance.created,2024-12-06 11:13:48,False,Other
9097a093-d124-4cbd-b5bc-b27ef6d34f3d,1730957777,weekly,saturday,2024-11-30T08:00:32.95440582Z,7,enabled,9097a093-d124-4cbd-b5bc-b27ef6d34f3d,2024-11-06 21:36:17,allowance.created,2024-11-09 21:36:17,True,Mismatched Values
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled,a0e18e1a-7d45-4157-ab4a-425749d214bc,2024-11-28 00:57:53,allowance.edited,,True,Missing Calculation
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled,a0e18e1a-7d45-4157-ab4a-425749d214bc,2024-11-28 00:57:53,allowance.edited,,True,Missing Calculation
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled,a0e18e1a-7d45-4157-ab4a-425749d214bc,2024-11-28 01:18:36,allowance.edited,,True,Missing Calculation
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled,a0e18e1a-7d45-4157-ab4a-425749d214bc,2024-11-28 01:18:37,allowance.edited,,True,Missing Calculation
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled,a0e18e1a-7d45-4157-ab4a-425749d214bc,2024-11-28 12:00:22,allowance.edited,,True,Missing Calculation
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled,a0e18e1a-7d45-4157-ab4a-425749d214bc,2024-11-28 12:00:22,allowance.edited,,True,Missing Calculation
89fc688d-51ba-4877-92cc-6428cc4d2c4b,1730028051,biweekly,friday,2024-11-22T08:00:41.160438463Z,6,enabled,89fc688d-51ba-4877-92cc-6428cc4d2c4b,2024-10-27 04:20:51,allowance.created,2024-11-08 04:20:51,True,Mismatched Values
0e835ee0-7305-4890-bdfe-d80754312cd7,1732146351,biweekly,thursday,1732146351,28,enabled,0e835ee0-7305-4890-bdfe-d80754312cd7,2024-11-20 15:45:51,allowance.created,2024-11-28 15:45:51,False,Other
7fb21ac5-9ef1-4a8d-ba9a-ec83c7ee14c9,1732146359,biweekly,thursday,1732146359,28,enabled,7fb21ac5-9ef1-4a8d-ba9a-ec83c7ee14c9,2024-11-20 15:45:59,allowance.created,2024-11-28 15:45:59,False,Other
576f559a-3917-4a7c-90cf-94c0d4b8c824,1732812254,monthly,fifteenth_day,2024-11-28T16:54:41.849364978Z,15,disabled,576f559a-3917-4a7c-90cf-94c0d4b8c824,2024-11-28 08:44:14,allowance.created,,True,Missing Calculation
76a558c9-e51e-47a7-9891-dee6041e0bfd,1732812208,monthly,first_day,2024-12-01T08:00:35.002747183Z,1,enabled,76a558c9-e51e-47a7-9891-dee6041e0bfd,2024-11-28 08:43:29,allowance.created,,True,Missing Calculation
6d125ef1-c556-41f3-ab86-911271613e08,1731857232,biweekly,friday,2024-11-28T01:10:19.339488361Z,29,enabled,6d125ef1-c556-41f3-ab86-911271613e08,2024-11-17 07:27:12,allowance.created,2024-11-29 07:27:12,False,Other
83e1815d-b48f-47e6-89b6-9b52e5875c79,1727454824,monthly,first_day,2024-11-09T21:13:51.566857373Z,1,enabled,83e1815d-b48f-47e6-89b6-9b52e5875c79,2024-11-09 13:13:51,allowance.edited,,True,Missing Calculation
c97f1147-1f59-4a0d-a1e2-12c65b4fcd67,1732736429,weekly,thursday,2024-11-28T08:00:29.438429136Z,5,enabled,c97f1147-1f59-4a0d-a1e2-12c65b4fcd67,2024-11-27 11:40:29,allowance.created,2024-11-28 11:40:29,True,Mismatched Values
3cc7a3ee-4691-4f60-a549-268e813e2c22,1723074942,monthly,first_day,2024-12-01T08:00:29.034582132Z,1,enabled,3cc7a3ee-4691-4f60-a549-268e813e2c22,2024-08-07 16:55:42,allowance.created,,True,Missing Calculation
3cc7a3ee-4691-4f60-a549-268e813e2c22,1723074942,monthly,first_day,2024-12-01T08:00:29.034582132Z,1,enabled,3cc7a3ee-4691-4f60-a549-268e813e2c22,2024-08-07 16:56:32,allowance.edited,,True,Missing Calculation
3cc7a3ee-4691-4f60-a549-268e813e2c22,1723074942,monthly,first_day,2024-12-01T08:00:29.034582132Z,1,enabled,3cc7a3ee-4691-4f60-a549-268e813e2c22,2024-08-07 16:56:32,allowance.edited,,True,Missing Calculation
8f1c09f4-9ddd-4a67-9215-4c590fb96277,1730046146,monthly,first_day,2024-12-01T15:01:34.155304907Z,1,disabled,8f1c09f4-9ddd-4a67-9215-4c590fb96277,2024-11-04 00:29:48,allowance.edited,,True,Missing Calculation
23c462ef-041e-474c-9cce-c2ce9c016601,1727529617,weekly,monday,2024-09-30T08:00:29.730334938Z,7,enabled,23c462ef-041e-474c-9cce-c2ce9c016601,2024-09-28 06:20:17,allowance.created,2024-09-30 06:20:17,True,Mismatched Values
823ec5d0-ebff-47e3-9586-79f325b39efe,1727529607,weekly,monday,2024-09-30T08:00:29.137376339Z,7,enabled,823ec5d0-ebff-47e3-9586-79f325b39efe,2024-09-28 06:20:07,allowance.created,2024-09-30 06:20:07,True,Mismatched Values
a158c244-03e9-49ae-96d8-59951b591f7e,1727529626,weekly,monday,2024-09-30T08:00:28.777284511Z,7,enabled,a158c244-03e9-49ae-96d8-59951b591f7e,2024-09-28 06:20:26,allowance.created,2024-09-30 06:20:26,True,Mismatched Values
c53778ff-a016-4876-b907-80c0c4b75dd4,1727529592,weekly,monday,2024-09-30T08:00:35.219934328Z,7,enabled,c53778ff-a016-4876-b907-80c0c4b75dd4,2024-09-28 06:19:52,allowance.created,2024-09-30 06:19:52,True,Mismatched Values
9e6f29ec-36af-4e32-bffc-505d56bac2de,1723561764,monthly,fifteenth_day,2024-10-05T01:52:47.417673462Z,15,disabled,9e6f29ec-36af-4e32-bffc-505d56bac2de,2024-09-30 09:49:10,allowance.edited,,True,Missing Calculation
3cf41387-d041-409f-aba3-738649fbd88d,1731171989,monthly,first_day,2024-12-01T08:00:31.871266382Z,1,enabled,3cf41387-d041-409f-aba3-738649fbd88d,2024-11-09 09:06:28,allowance.created,,True,Missing Calculation
19fb6887-3ecb-49f4-9164-22cba4d91b14,1722482475,weekly,saturday,1722482475,3,enabled,19fb6887-3ecb-49f4-9164-22cba4d91b14,2024-07-31 20:21:16,allowance.created,2024-08-03 20:21:16,False,Other
902c6c8a-7664-4dd5-92f2-185e746e6d93,1722483043,weekly,saturday,1722483043,3,enabled,902c6c8a-7664-4dd5-92f2-185e746e6d93,2024-07-31 20:30:43,allowance.created,2024-08-03 20:30:43,False,Other
e6b3f591-0335-48ab-888e-2f9dfec2bcc1,1728948148,monthly,first_day,2024-12-01T08:01:49.639187968Z,1,enabled,e6b3f591-0335-48ab-888e-2f9dfec2bcc1,2024-10-14 16:22:28,allowance.created,,True,Missing Calculation
bf14134e-4036-4f48-9a98-13bb4933ece8,1729023052,weekly,friday,2024-11-07T19:29:35.169486216Z,8,disabled,bf14134e-4036-4f48-9a98-13bb4933ece8,2024-10-15 13:10:52,allowance.created,2024-10-18 13:10:52,True,Mismatched Values
cbf7b539-3720-4e83-aa2c-a938c177dd45,1729023031,weekly,friday,2024-11-01T08:01:55.130140904Z,8,enabled,cbf7b539-3720-4e83-aa2c-a938c177dd45,2024-10-18 02:34:56,allowance.edited,2024-10-18 02:34:56,True,Mismatched Values
cbf7b539-3720-4e83-aa2c-a938c177dd45,1729023031,weekly,friday,2024-11-01T08:01:55.130140904Z,8,enabled,cbf7b539-3720-4e83-aa2c-a938c177dd45,2024-10-18 02:34:56,allowance.edited,2024-10-18 02:34:56,True,Mismatched Values
d0e98c8e-621f-4236-8753-5e48d9103fd4,1729023007,weekly,friday,2024-10-18T08:00:42.977499974Z,25,enabled,d0e98c8e-621f-4236-8753-5e48d9103fd4,2024-10-15 13:10:08,allowance.created,2024-10-18 13:10:08,True,Mismatched Values
db11fd4a-163c-4e9f-a6c7-fbc4940530c2,1731955072,weekly,friday,2024-11-29T08:00:43.085333331Z,6,enabled,db11fd4a-163c-4e9f-a6c7-fbc4940530c2,2024-11-18 10:38:03,allowance.edited,2024-11-22 10:38:03,True,Mismatched Values
db11fd4a-163c-4e9f-a6c7-fbc4940530c2,1731955072,weekly,friday,2024-11-29T08:00:43.085333331Z,6,enabled,db11fd4a-163c-4e9f-a6c7-fbc4940530c2,2024-11-18 10:38:03,allowance.edited,2024-11-22 10:38:03,True,Mismatched Values
39cbcd5c-2f4f-49a4-b8fc-66ca199e7f62,1728423681,biweekly,sunday,2024-12-01T08:00:30.419463775Z,15,enabled,39cbcd5c-2f4f-49a4-b8fc-66ca199e7f62,2024-10-08 14:41:21,allowance.created,2024-10-20 14:41:21,True,Mismatched Values
51267cd6-d4f3-44ff-9e97-cc2beba16dc4,1728423746,biweekly,sunday,2024-12-01T08:00:30.693104434Z,15,enabled,51267cd6-d4f3-44ff-9e97-cc2beba16dc4,2024-10-08 14:42:26,allowance.created,2024-10-20 14:42:26,True,Mismatched Values
470b7e12-8a29-4ee1-8226-0e33b1fafeb0,1727211738,weekly,friday,2024-09-28T15:38:43.881536444Z,4,disabled,470b7e12-8a29-4ee1-8226-0e33b1fafeb0,2024-09-26 17:36:56,allowance.edited,2024-09-27 17:36:56,True,Mismatched Values
470b7e12-8a29-4ee1-8226-0e33b1fafeb0,1727211738,weekly,friday,2024-09-28T15:38:43.881536444Z,4,disabled,470b7e12-8a29-4ee1-8226-0e33b1fafeb0,2024-09-26 17:36:57,allowance.edited,2024-09-27 17:36:57,True,Mismatched Values
91ca2fa6-9457-4105-90f9-3923479935fc,1727211756,weekly,saturday,2024-09-28T15:39:04.540846355Z,5,disabled,91ca2fa6-9457-4105-90f9-3923479935fc,2024-09-24 16:00:40,allowance.edited,2024-09-28 16:00:40,True,Mismatched Values
91ca2fa6-9457-4105-90f9-3923479935fc,1727211756,weekly,saturday,2024-09-28T15:39:04.540846355Z,5,disabled,91ca2fa6-9457-4105-90f9-3923479935fc,2024-09-24 16:00:42,allowance.edited,2024-09-28 16:00:42,True,Mismatched Values
a98bf884-85ea-4af4-abe9-49855eced9e3,1727211772,weekly,saturday,2024-09-28T14:00:41.611464042Z,5,disabled,a98bf884-85ea-4af4-abe9-49855eced9e3,2024-09-24 16:00:30,allowance.edited,2024-09-28 16:00:30,True,Mismatched Values
