user_id,payment_date
061d8039-b332-40ca-b906-3514b06411c2,22
0ca92d01-feed-42e5-b90c-299b615f9d3f,22
160bcd2d-3ab0-4a60-9bfa-ccfcc1ee17e4,22
1649fee7-c424-4fb7-ac84-db36e15e042a,22
1d647703-874d-4744-b4de-6a5212518aa8,22
2026a912-d221-42bf-9d4b-ebcf1b9ba02c,22
298b9863-9dca-4f31-b35c-7e19ce678e5e,22
2b0e5667-52e4-40cf-a4dd-c0218d6b7574,22
2bf2d121-9076-450d-a9e3-3fe6c83dba91,22
2db8f773-9e65-4200-bbf2-edc4994435a4,22
300f6e61-802a-418f-a66a-48b684342777,22
364c9bc0-9f19-4151-bc83-e9c189433904,22
431a62c4-30ae-405d-95d2-fb7b8284ac4f,22
45a62133-c35e-418b-8ee7-21f46f8c0c50,22
49086aa5-d9b7-4d3c-84e3-46b590b8ca81,22
4be350aa-3f6f-4bd1-b03a-88615dbbb2d5,22
4d50e137-2881-4c23-8d78-2b6960c3a50b,22
571d5f7f-6be4-48a0-970e-734b680b9c30,22
596f2673-e566-4f69-bacd-0c2f2f728d71,22
5e9b3b8a-9def-4412-8878-b99546ea9834,22
7304df02-4171-47c9-b849-de8e96d788ef,22
7523f34b-a154-47c5-8aa7-0a26cb7eda4f,22
77e344d8-e2dd-4154-bf93-4e1fbb80ba6f,22
7af5611f-5f69-44e9-9d71-ec953b5dc1d9,22
82f5b11d-48f7-427f-b221-907cd611fa00,22
8a26e0d9-146e-4ba3-af8d-a72c499e5ceb,22
9865ceee-50ae-4a00-93ec-cf27396e6cb5,22
9b5a1bfb-29c6-49b4-bcab-fa3596f356c2,22
9d1f4e30-9c42-40fb-a8b3-6af611c61f22,22
9d82a047-27a3-4841-9ffa-c85c5308ee6a,22
9ddd8cc9-f471-44fd-bba9-46acdc29a44a,22
aa517fde-0484-4d23-820a-8520a6062e7d,22
ac318f8a-9785-4eea-9622-0953b46ef3da,22
ae63beb1-be4f-4f20-9efc-4b842402dce6,22
bac14e0c-a41a-45c2-9a57-1ce99c578d1c,22
c7da8741-eacc-4eda-a002-77c63362c5b3,22
d7382071-3f5d-4a5a-b558-accb237ce9d0,22
da3f3141-3cd1-4bb9-8e8b-364ae5faa71d,22
de5adfec-76eb-4b37-a758-cedd31e55028,22
df86febd-6b8f-40cb-bc00-abc86d1a02d7,22
e359dbab-86cf-4576-8d16-3c08df3f6a41,22
e5f4af21-6965-481b-875f-869e149a203b,22
ef214642-7f5b-4a3d-87e8-21619e978b52,22
f00e052e-6236-423e-a225-221568fb8310,22
f1887db1-be98-4850-abe9-38d3dc86c3fa,22
f639ab6a-49dc-4b62-9e37-b2ad1f88790a,22
f741b3eb-ce92-4ea2-919f-fa164b367f08,22
f8b0d8e6-01d2-4265-8121-932bb78f6429,22
fca9e04f-aed5-4042-8855-a4c21be10893,22
0220fb2f-aa7c-426f-b6c8-ebaba9c4dd97,18
09a5d44a-1424-4bca-b184-0892a95d47df,18
1110abdf-59a7-4735-8cf6-867520796059,18
151bce6e-113f-480d-8a4d-96bda9dad33a,18
22958728-5268-4943-80ba-0ce05e1a1ca4,18
23537e08-e626-4f34-ba32-229e809fa842,18
28f8caf4-7691-4fa5-ba50-3966b7cce11f,18
2a86b84d-7a7f-4552-b0a2-bc7fdd2dc5f8,18
2af58717-7f71-4d0c-91f9-ad2cfdff8a06,18
2f7b5bdd-2133-4e48-82a8-c9fa4ab653da,18
3a6ad4a4-22ba-4266-a88c-480304940707,18
3c700c10-3d42-49a5-ac54-b27d8820e440,18
3e42d972-c9f0-4971-870a-d13fa3ee0574,18
3f5a72b0-e3a5-472e-a0c7-260d318abc77,18
46f5ef31-b567-47b0-bbfa-f0b921c082e8,18
479fcf15-dfca-4ea7-9770-e36a122defb7,18
4bea990b-1d5b-4cfa-8d8b-77b7a0378d39,18
4c631078-db55-4bd6-8c01-f62cab4f4c46,18
